"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUST00000106403.8",46.7924191456949,22.4374107470591,3.11722385848288,7.19788239975141,6.1154852121647e-13,1.49766194350843e-08
"ENSMUST00000077046.12",25.4236011861344,21.5890160958546,3.11780306683396,6.92443224702375,4.3772747195044e-12,4.8799027771121e-08
"ENSMUST00000114616.8",25.544020546983,21.5623279171139,3.11779697407039,6.91588583106603,4.64948746271008e-12,4.8799027771121e-08
"ENSMUST00000148406.8",23.7346824683399,21.4937366423427,3.11789333321987,6.89367285703323,5.43699804321416e-12,4.99313511546127e-08
"ENSMUST00000169786.8",22.4888611152349,21.4188573086645,3.11796852214359,6.86949119484346,6.4431294089586e-12,5.25966971718644e-08
"ENSMUST00000108231.8",20.2474724715785,21.2691192282831,3.11812725576044,6.82111969259448,9.03336361404024e-12,6.63672191359922e-08
"ENSMUST00000184455.8",19.055614672519,21.1847702718536,3.11822700584147,6.79385119562093,1.09179000480097e-11,7.29206544206569e-08
"ENSMUST00000199240.5",17.7815015041862,21.0893307450323,3.11834744234681,6.76298300139414,1.35179103324505e-11,8.2350974975178e-08
"ENSMUST00000184332.8",16.8547383945777,21.0129120588684,3.11844714281896,6.73826141554337,1.60292990299945e-11,8.2350974975178e-08
"ENSMUST00000050125.9",16.6875564815334,21.0036694057582,3.11846706995824,6.73525451273708,1.63643233516555e-11,8.2350974975178e-08
"ENSMUST00000045011.9",16.2199599679079,20.9637071091401,3.11852186558072,6.72232166800482,1.78851569842561e-11,8.2350974975178e-08
"ENSMUST00000076140.4",16.2040161307716,20.9624800247064,3.11852477750947,6.72192190868129,1.79343069812145e-11,8.2350974975178e-08
"ENSMUST00000140375.8",15.7078744773171,20.9138677223546,3.11858748505516,6.70619882321009,1.99759506861164e-11,8.63301835857815e-08
"ENSMUST00000219400.2",14.2743831165153,20.7850579526558,3.11879319668718,6.66445533315065,2.65648677711362e-11,1.08427459459867e-07
"ENSMUST00000065111.15",22.4484251278659,20.2101388624348,3.11797139869638,6.48182304394602,9.06208894390912e-11,3.50411901378979e-07
"ENSMUST00000235069.2",97.7170791623284,9.80126453572015,2.08619874346218,4.69814516303194,2.62534816851475e-06,0.00564438120423854
"ENSMUST00000169861.9",85.5091487864724,9.6089605180002,1.98437043473392,4.84232195249807,1.28330610470517e-06,0.00304139407118013
"ENSMUST00000176204.8",83.8934664462468,9.58123603422959,1.95831573544111,4.89259002561782,9.95175698199044e-07,0.00252119184037881
"ENSMUST00000203467.3",30.0770001653767,8.10133215804329,1.49956781436043,5.40244467803447,6.5738735468501e-08,0.000201239964838971
"ENSMUST00000112651.8",23.0447994566418,7.71758044001288,1.10682910536525,6.97269379943358,3.10928892852025e-12,4.56872696578909e-08
"ENSMUST00000085673.11",21.6755259776596,7.62885471222409,1.87342280099384,4.07214789324493,4.65815856844983e-05,0.0402623825724048
"ENSMUST00000138750.8",21.4551426841791,7.61392501733127,1.89251958538526,4.0231684132248,5.74204057706044e-05,0.0450473516154192
"ENSMUST00000114918.9",20.3251118262777,7.53606396474334,1.8747388168344,4.01979406255022,5.82490356948485e-05,0.0450473516154192
"ENSMUST00000236797.2",19.8327866542764,7.49977140620095,1.48351164198707,5.05541796500868,4.29449199187099e-07,0.00116856308203989
"ENSMUST00000111057.2",17.6151413417443,7.32961806807129,1.51001872661536,4.85399150280758,1.2100092294549e-06,0.00296327226929406
"ENSMUST00000063380.11",15.6761848588127,7.16191457764114,1.45880305767612,4.90944582269392,9.13341273578881e-07,0.00239650964387739
"ENSMUST00000133919.8",13.7923925727643,6.97681785518598,1.52773503926396,4.56677216655794,4.95291831483187e-06,0.00931834077951307
"ENSMUST00000191473.7",12.2969963623906,6.81119977512543,1.54526582696409,4.40778515662063,1.04433058556746e-05,0.0150442987825599
"ENSMUST00000130028.2",12.2142876474853,6.80240676981508,1.49523356781582,4.54939409884422,5.38006011763104e-06,0.00931834077951307
"ENSMUST00000117966.2",9.99382385050042,6.51361649197057,1.48186451748898,4.39555466447629,1.10490252994649e-05,0.0153162422589884
"ENSMUST00000127237.3",8.69519330860284,6.31267879762717,1.38592761544469,4.55484018593689,5.24254199284864e-06,0.00931834077951307
"ENSMUST00000239226.3",8.3362038743023,6.25041901502716,1.52581311064678,4.09645124387327,4.19531795616975e-05,0.0385282268652295
"ENSMUST00000139200.8",8.14371935729148,6.21620625904149,1.54279674878943,4.02918029475955,5.59716796478182e-05,0.0450473516154192
"ENSMUST00000067886.12",7.88715565781413,6.17044544763955,1.38562865541529,4.45317396080423,8.46101480855103e-06,0.0126861693259068
"ENSMUST00000169593.2",7.86788641564328,6.16871146955555,1.53287706624246,4.02427018148096,5.7152274178201e-05,0.0450473516154192
"ENSMUST00000235523.2",7.61131447203551,6.11900484873578,1.51833426941288,4.03007754748361,5.57584547680042e-05,0.0450473516154192
"ENSMUST00000180917.10",6.95208063051025,5.98680150937056,1.43011093398607,4.18624972867235,2.83601315659497e-05,0.0285423356988871
"ENSMUST00000109641.2",5.91225131672668,5.75384841628965,1.40688656692818,4.08977422312921,4.31793295347521e-05,0.0386870995315696
"ENSMUST00000097734.11",5.55236575924306,5.66477749193732,1.33705633695707,4.23675303377976,2.26775332017148e-05,0.0250496496695231
"ENSMUST00000194437.6",5.49347163629663,5.64831357499136,1.41308314173443,3.99715587014829,6.41080904300439e-05,0.048060788732703
"ENSMUST00000111316.9",104.617575304142,5.62772012413789,0.903009780132993,6.23218070053356,4.59986435349086e-10,1.6897371709331e-06
"ENSMUST00000183175.8",5.2366705482382,5.58350606724652,1.16176651998929,4.80604835065998,1.53942684413418e-06,0.00353437971286545
"ENSMUST00000118771.8",5.17247191132573,5.56300346157006,1.28985915544584,4.31287667190858,1.61144016563136e-05,0.019731816254795
"ENSMUST00000063672.10",5.07412830672682,5.52942486291065,1.17816445147717,4.69325386280153,2.68893468195224e-06,0.00564438120423854
"ENSMUST00000114308.10",38.4268311266316,5.37885419869682,1.18306888022029,4.54652665506279,5.45384656819968e-06,0.00931834077951307
"ENSMUST00000166280.8",18.819706858269,5.37524991203847,1.30768488990259,4.11050854341437,3.94788672263868e-05,0.0367148467880432
"ENSMUST00000198241.5",4.30575410521663,5.29946630408643,1.17066064162438,4.52690225984963,5.98546064730268e-06,0.00977212907325957
"ENSMUST00000178691.2",4.17642112249781,5.25060373488405,1.22218262944144,4.29608767822502,1.73838848923593e-05,0.0205996232122055
"ENSMUST00000169256.5",106.218208873837,5.10365759116857,1.19199812195067,4.2815986847501,1.85555400828961e-05,0.0213008902242233
"ENSMUST00000242342.1",3.52530483435442,5.01403313841066,1.152059982234,4.35223270986965,1.34758113515287e-05,0.0176795425747404
"ENSMUST00000212358.2",5.88230067170788,5.00304832636482,1.09811587276458,4.55602951423451,5.21296148207285e-06,0.00931834077951307
"ENSMUST00000169623.8",5.5763162183408,4.922911099402,1.20599856135931,4.08202070643704,4.4645817935086e-05,0.0394609214197011
"ENSMUST00000114310.10",44.5828955763411,4.51385035082513,1.1210880036197,4.02631223976269,5.66584421465305e-05,0.0450473516154192
"ENSMUST00000214174.2",19.1164622695539,4.35831280381631,1.02382392917347,4.25689679604846,2.0728398225498e-05,0.0234291490650633
"ENSMUST00000188553.7",125.218012718464,4.21674889233536,0.911518179096486,4.62607218269095,3.72665466268496e-06,0.00760537753924448
"ENSMUST00000240758.1",46.3280436062887,3.91442123695343,0.959515844635475,4.07957957009094,4.51172249418788e-05,0.0394609214197011
"ENSMUST00000241104.1",28.9699766162985,3.71943265489799,0.684837017390168,5.43112092432198,5.6001169098707e-08,0.000178884777935344
"ENSMUST00000133013.2",7.71837312738208,3.63283209468873,0.894078455162484,4.06321399840524,4.84016174218828e-05,0.0413490515159106
"ENSMUST00000026297.12",337.366417487072,3.23673958699563,0.701032025550557,4.61710659288875,3.89127421223997e-06,0.00772670338105564
